0	3984	3986	3988	3989	3991	3993	3999	4001	4003	3996	3998	4004	4005	4006	4008	4010	4011	4019	4021	4023	
3904	62,43	62,75	62,83	62,85	62,89	62,137	62,101	62,107	62,111	62,96	62,154	62,116	62,152	62,126	62,168	62,255	62,180	62,192	62,196	62,203	
3906	74,43	74,75	74,83	74,85	74,89	74,137	74,101	74,107	74,111	74,96	74,154	74,116	74,152	74,126	74,168	74,255	74,180	74,192	74,196	74,203	
3908	82,43	82,75	82,83	82,85	82,89	82,137	82,101	82,107	82,111	82,96	82,154	82,116	82,152	82,126	82,168	82,255	82,180	82,192	82,196	82,203	
3921	106,43	106,75	106,83	106,85	106,89	106,137	106,101	106,107	106,111	106,96	106,154	106,116	106,152	106,126	106,168	106,255	106,180	106,192	106,196	106,203	
3923	153,43	153,75	153,83	153,85	153,89	153,137	153,101	153,107	153,111	153,96	153,154	153,116	153,152	153,126	153,168	153,255	153,180	153,192	153,196	153,203	
3916	95,43	95,75	95,83	95,85	95,89	95,137	95,101	95,107	95,111	95,96	95,154	95,116	95,152	95,126	95,168	95,255	95,180	95,192	95,196	95,203	
3918	39,43	39,75	39,83	39,85	39,89	39,137	39,101	39,107	39,111	39,96	39,154	39,116	39,152	39,126	39,168	39,255	39,180	39,192	39,196	39,203	
3926	132,43	132,75	132,83	132,85	132,89	132,137	132,101	132,107	132,111	132,96	132,154	132,116	132,152	132,126	132,168	132,255	132,180	132,192	132,196	132,203	
3928	155,43	155,75	155,83	155,85	155,89	155,137	155,101	155,107	155,111	155,96	155,154	155,116	155,152	155,126	155,168	155,255	155,180	155,192	155,196	155,203	
3929	254,43	254,75	254,83	254,85	254,89	254,137	254,101	254,107	254,111	254,96	254,154	254,116	254,152	254,126	254,168	254,255	254,180	254,192	254,196	254,203	
3931	179,43	179,75	179,83	179,85	179,89	179,137	179,101	179,107	179,111	179,96	179,154	179,116	179,152	179,126	179,168	179,255	179,180	179,111	179,196	179,203	
3939	191,43	191,75	191,83	191,85	191,89	191,137	191,101	191,107	191,111	191,96	191,154	191,116	191,152	191,126	191,168	191,255	191,180	191,192	191,196	191,203	
3942	199,43	199,75	199,83	199,85	199,89	199,137	199,101	199,107	199,111	199,96	199,154	199,116	199,152	199,126	199,168	199,255	199,180	199,192	199,196	199,203	
3943	151,43	151,75	151,83	151,85	151,89	151,137	151,101	151,107	151,111	151,96	151,154	151,116	151,152	151,126	151,168	151,255	151,180	151,192	151,196	151,203	
