1,33	1,111	10,118	10,120	
1,34	1,118	10,114	10,123	
1,35	1,111	10,118	10,120	
1,36	1,118	10,114	10,123	
1,37	1,116	10,114	10,123	
1,38	1,117	10,114	10,123	
1,39	1,118	10,114	10,123	
1,40	1,112	10,115	10,121	
1,41	1,112	10,115	10,121	
1,42	1,118	10,114	10,123	
1,43	1,111	10,118	10,120	
1,44	1,111	10,118	10,120	
1,46	1,118	10,114	10,123	
1,47	1,118	10,114	10,123	
1,48	1,118	10,114	10,123	
1,49	1,118	10,114	10,123	
1,50	1,116	10,114	10,123	
1,51	1,117	10,114	10,123	
1,52	1,118	10,114	10,123	
1,53	1,119	10,118	10,124	
1,54	1,111	10,118	10,120	
1,55	1,118	10,114	10,123	
1,56	1,118	10,114	10,123	
1,57	1,118	10,114	10,123	
1,58	1,118	10,114	10,123	
1,59	1,118	10,114	10,123	
1,60	1,111	10,118	10,120	
1,61	1,118	10,114	10,123	
1,62	1,112	10,115	10,122	
1,63	1,118	10,114	10,123	
1,64	1,120	10,115	10,124	
1,65	1,118	10,114	10,123	
1,66	1,120	10,115	10,124	
1,67	1,118	10,115	10,124	
1,68	1,118	10,115	10,124	
1,70	1,121	10,115	10,124	
1,71	1,121	10,115	10,124	
1,72	1,119	10,115	10,124	
1,73	1,119	10,115	10,124	
1,74	1,113	10,116	10,125	
1,75	1,113	10,116	10,124	
1,76	1,121	10,115	10,124	
1,77	1,121	10,115	10,124	
1,78	1,119	10,115	10,124	
1,79	1,119	10,115	10,124	
1,80	1,119	10,115	10,124	
1,81	1,119	10,115	10,124	
1,82	1,114	10,116	10,125	
1,83	1,114	10,116	10,125	
1,84	1,122	10,116	10,125	
1,85	1,122	10,116	10,125	
1,86	1,122	10,116	10,125	
1,87	1,115	10,116	10,125	
1,88	1,114	10,116	10,125	
1,89	1,122	10,116	10,125	
1,90	1,122	10,116	10,125	
1,91	1,115	10,116	10,125	
10,58	1,117	10,114	10,123	
10,59	1,117	10,114	10,123	
2,100	2,117	10,117	10,126	
2,101	2,117	10,117	10,126	
2,102	2,116	10,115	10,124	
2,33	2,113	10,116	10,125	
2,34	2,113	10,116	10,125	
2,35	2,116	10,116	10,125	
2,36	2,114	10,116	10,125	
2,37	2,114	10,116	10,125	
2,38	2,113	10,116	10,125	
2,39	2,113	10,116	10,125	
2,40	2,116	10,116	10,125	
2,41	2,116	10,116	10,125	
2,42	2,116	10,116	10,125	
2,43	2,116	10,116	10,125	
2,44	2,116	10,116	10,125	
2,46	2,116	10,116	10,125	
2,47	2,116	10,116	10,125	
2,48	2,116	10,116	10,125	
2,49	2,116	10,116	10,125	
2,50	2,116	10,116	10,125	
2,51	2,116	10,116	10,125	
2,52	2,116	10,116	10,125	
2,53	2,116	10,116	10,125	
2,54	2,116	10,116	10,125	
2,55	2,116	10,116	10,125	
2,56	2,116	10,115	10,125	
2,57	2,116	10,116	10,125	
2,58	2,116	10,115	10,125	
2,59	2,116	10,116	10,125	
2,60	2,111	10,115	10,124	
2,61	2,111	10,115	10,124	
2,62	2,111	10,115	10,124	
2,63	2,112	10,116	10,125	
2,64	2,112	10,116	10,125	
2,65	2,112	10,116	10,125	
2,66	2,112	10,116	10,125	
2,67	2,115	10,115	10,124	
2,68	2,115	10,115	10,124	
2,69	2,115	10,115	10,124	
2,70	2,115	10,115	10,124	
2,71	2,115	10,115	10,124	
2,72	2,115	10,115	10,124	
2,73	2,115	10,115	10,124	
2,74	2,115	10,115	10,124	
2,75	2,115	10,115	10,124	
2,76	2,115	10,115	10,124	
2,77	2,115	10,115	10,124	
2,78	2,115	10,115	10,124	
2,79	2,115	10,115	10,124	
2,80	2,116	10,116	10,125	
2,81	2,116	10,116	10,125	
2,82	2,116	10,116	10,125	
2,83	2,116	10,116	10,125	
2,84	2,116	10,116	10,125	
2,85	2,116	10,116	10,125	
2,86	2,118	10,116	10,125	
2,87	2,118	10,116	10,125	
2,88	2,118	10,116	10,125	
2,89	2,117	10,117	10,126	
2,90	2,117	10,117	10,126	
2,91	2,119	10,117	10,126	
2,92	2,119	10,117	10,126	
2,93	2,119	10,117	10,126	
2,94	2,119	10,117	10,126	
2,95	2,117	10,117	10,126	
2,96	2,117	10,117	10,126	
2,97	2,117	10,117	10,126	
2,98	2,117	10,117	10,126	
2,99	2,117	10,117	10,126	
1,69	1,122	10,116	10,125	
3,33	4,120	4,106	4,113	
3,34	4,120	4,106	4,113	
3,35	4,120	4,106	4,113	
3,36	4,120	4,106	4,113	
3,37	4,120	4,106	4,113	
3,38	4,121	4,107	4,114	
3,39	4,121	4,107	4,114	
3,40	4,123	4,109	4,116	
3,41	4,121	4,107	4,114	
3,42	4,120	4,106	4,113	
3,43	4,122	4,108	4,115	
3,44	4,120	4,106	4,113	
3,46	4,120	4,106	4,113	
3,47	4,122	4,108	4,115	
3,48	4,120	4,106	4,113	
3,49	4,120	4,106	4,113	
3,50	4,122	4,108	4,115	
3,51	4,120	4,106	4,113	
3,52	8,121	8,107	8,114	
3,53	4,120	4,106	4,113	
3,54	4,120	4,106	4,113	
3,55	4,124	4,110	4,117	
3,56	4,123	4,109	4,116	
3,57	4,122	4,108	4,115	
3,58	4,122	4,108	4,115	
3,61	4,120	4,106	4,113	
3,62	4,120	4,106	4,113	
3,63	4,120	4,106	4,113	
3,64	4,120	4,106	4,113	
3,65	4,124	4,110	4,117	
3,66	4,120	4,106	4,113	
3,67	4,120	4,106	4,113	
3,68	4,123	4,109	4,116	
3,69	4,125	4,111	4,118	
3,70	4,125	4,111	4,118	
3,71	4,120	4,106	4,113	
3,72	4,122	4,108	4,115	
3,73	4,120	4,106	4,113	
3,74	4,124	4,110	4,117	
3,75	4,125	4,111	4,118	
3,76	4,120	4,106	4,113	
3,77	4,122	4,108	4,115	
3,78	4,120	4,106	4,113	
3,79	4,120	4,106	4,113	
3,80	4,126	4,112	4,119	
3,81	4,124	4,110	4,117	
3,82	4,124	4,110	4,117	
3,83	4,125	4,111	4,118	
3,84	4,124	4,110	4,117	
3,85	4,124	4,110	4,117	
3,86	4,121	4,107	4,114	
3,87	4,121	4,107	4,114	
3,88	4,121	4,107	4,114	
3,89	4,120	4,106	4,113	
3,90	4,124	4,110	4,117	
3,91	4,125	4,111	4,118	
3,92	4,122	4,108	4,115	
3,93	4,120	4,106	4,113	
3,94	4,122	4,108	4,115	
3,95	4,120	4,106	4,113	
3,96	4,121	4,107	4,114	
3,97	4,122	4,108	4,115	
3,98	4,124	4,110	4,117	
3,99	4,125	4,111	4,118	
3,100	4,125	4,111	4,118	
3,101	4,120	4,106	4,113	
3,102	4,120	4,106	4,113	
3,103	4,120	4,106	4,113	
3,104	4,120	4,106	4,113	
3,105	4,120	4,106	4,113	
3,106	4,120	4,106	4,113	
3,107	4,120	4,106	4,113	
3,108	4,120	4,106	4,113	
3,109	4,123	4,109	4,116	
3,110	4,124	4,110	4,117	
3,111	4,125	4,111	4,118	
3,112	4,120	4,106	4,113	
3,113	4,120	4,106	4,113	
3,114	4,122	4,108	4,115	
3,115	4,122	4,108	4,115	
3,116	4,120	4,106	4,113	
3,117	4,122	4,108	4,115	
3,118	4,120	4,106	4,113	
3,119	4,120	4,106	4,113	
3,120	4,120	4,106	4,113	
3,121	4,120	4,106	4,113	
3,122	4,122	4,108	4,115	
3,123	4,120	4,106	4,113	
3,124	4,120	4,106	4,113	
3,125	4,120	4,106	4,113	
3,126	4,120	4,106	4,113	
4,33	4,120	4,106	4,113	
4,34	4,120	4,106	4,113	
4,35	4,124	4,110	4,117	
4,36	4,123	4,109	4,116	
4,37	4,124	4,110	4,117	
4,38	4,126	4,112	4,119	
4,39	4,120	4,106	4,113	
4,40	4,122	4,108	4,115	
4,41	4,120	4,106	4,113	
4,42	4,122	4,108	4,115	
4,43	4,120	4,106	4,113	
4,44	4,120	4,106	4,113	
4,46	4,120	4,106	4,113	
4,47	4,120	4,106	4,113	
4,48	4,120	4,106	4,113	
4,49	4,121	4,107	4,114	
4,50	4,121	4,107	4,114	
4,51	4,124	4,110	4,117	
4,52	4,122	4,108	4,115	
4,53	4,120	4,106	4,113	
4,54	4,124	4,110	4,117	
4,55	4,122	4,108	4,115	
4,56	4,120	4,106	4,113	
4,57	4,120	4,106	4,113	
4,58	4,123	4,109	4,116	
4,59	4,124	4,110	4,117	
4,60	4,120	4,106	4,113	
4,61	4,120	4,106	4,113	
4,62	4,120	4,106	4,113	
4,63	4,120	4,106	4,113	
4,64	4,120	4,106	4,113	
4,65	4,120	4,106	4,113	
4,66	4,120	4,106	4,113	
4,67	4,120	4,106	4,113	
4,68	4,120	4,106	4,113	
4,69	4,124	4,110	4,117	
4,70	8,120	8,106	8,113	
4,71	4,120	4,106	4,113	
4,72	4,120	4,106	4,113	
4,73	4,120	4,106	4,113	
4,74	4,121	4,107	4,114	
4,75	4,120	4,106	4,113	
4,76	4,120	4,106	4,113	
4,77	4,120	4,106	4,113	
4,78	4,120	4,106	4,113	
4,79	4,122	4,108	4,115	
4,80	4,124	4,110	4,117	
4,81	4,125	4,111	4,118	
4,82	4,120	4,106	4,113	
4,83	4,123	4,109	4,116	
4,84	4,125	4,111	4,118	
4,85	4,120	4,106	4,113	
4,86	4,120	4,106	4,113	
4,87	4,120	4,106	4,113	
4,88	4,120	4,106	4,113	
4,89	4,120	4,106	4,113	
4,90	4,120	4,106	4,113	
4,91	4,126	4,112	4,119	
4,92	4,124	4,110	4,117	
4,93	4,121	4,107	4,114	
4,94	4,121	4,107	4,114	
4,95	4,121	4,107	4,114	
4,96	4,120	4,106	4,113	
4,97	4,120	4,106	4,113	
4,98	4,120	4,106	4,113	
4,99	4,123	4,109	4,116	
4,100	8,121	8,107	8,114	
4,101	4,125	4,111	4,118	
4,102	4,123	4,109	4,116	
4,103	4,120	4,106	4,113	
4,104	4,122	4,108	4,115	
4,105	4,120	4,106	4,113	
5,33	4,120	4,106	4,113	
5,34	4,120	4,106	4,113	
5,35	4,120	4,106	4,113	
5,36	4,121	4,107	4,114	
5,37	6,122	6,108	6,115	
5,38	4,123	4,109	4,116	
5,39	8,120	8,106	8,113	
5,40	6,120	6,106	6,113	
5,41	6,120	6,106	6,113	
5,42	6,120	6,106	6,113	
5,43	6,122	6,108	6,115	
5,44	6,121	6,107	6,114	
5,46	6,121	6,107	6,114	
5,47	6,120	6,106	6,113	
5,48	6,122	6,108	6,115	
5,49	6,120	6,106	6,113	
5,50	6,122	6,108	6,115	
5,51	6,120	6,106	6,113	
5,52	6,122	6,108	6,115	
5,53	6,120	6,106	6,113	
5,54	6,120	6,106	6,113	
5,55	6,122	6,108	6,115	
5,56	6,120	6,106	6,113	
5,57	6,121	6,107	6,114	
5,58	6,120	6,106	6,113	
5,59	6,124	6,110	6,117	
5,60	6,124	6,110	6,117	
5,61	6,125	6,111	6,118	
5,62	6,124	6,110	6,117	
5,63	6,125	6,111	6,118	
5,64	6,122	6,108	6,115	
5,65	6,122	6,108	6,115	
5,66	6,122	6,108	6,115	
5,67	6,121	6,107	6,114	
5,68	6,122	6,108	6,115	
5,69	6,123	6,109	6,116	
5,70	6,120	6,106	6,113	
5,71	6,120	6,106	6,113	
5,72	6,120	6,106	6,113	
5,73	6,122	6,108	6,115	
5,74	6,122	6,108	6,115	
5,75	6,124	6,110	6,117	
5,76	6,125	6,111	6,118	
5,77	6,120	6,106	6,113	
5,78	6,120	6,106	6,113	
5,79	6,122	6,108	6,115	
5,80	6,122	6,108	6,115	
5,81	6,122	6,108	6,115	
5,82	6,123	6,109	6,116	
5,83	6,126	6,112	6,119	
5,84	6,125	6,111	6,118	
5,85	6,125	6,111	6,118	
5,86	6,125	6,111	6,118	
5,87	6,120	6,106	6,113	
5,88	6,120	6,106	6,113	
5,89	6,121	6,107	6,114	
5,90	6,124	6,110	6,117	
5,91	6,125	6,111	6,118	
5,92	6,125	6,111	6,118	
5,93	6,120	6,106	6,113	
5,94	6,120	6,106	6,113	
5,95	6,121	6,107	6,114	
5,96	6,122	6,108	6,115	
5,97	6,120	6,106	6,113	
5,98	6,124	6,110	6,117	
5,99	6,125	6,111	6,118	
5,100	6,124	6,110	6,117	
5,101	6,122	6,108	6,115	
5,102	6,121	6,107	6,114	
5,103	6,123	6,109	6,116	
5,104	6,121	6,107	6,114	
5,105	6,120	6,106	6,113	
5,106	6,124	6,110	6,117	
5,107	6,124	6,110	6,117	
5,108	6,120	6,106	6,113	
5,109	6,120	6,106	6,113	
5,110	6,123	6,109	6,116	
5,111	6,120	6,106	6,113	
5,112	6,120	6,106	6,113	
5,113	6,122	6,108	6,115	
5,114	6,121	6,107	6,114	
5,115	6,123	6,109	6,116	
5,116	6,121	6,107	6,114	
5,117	6,123	6,109	6,116	
5,118	6,120	6,106	6,113	
5,119	6,120	6,106	6,113	
5,120	6,124	6,110	6,117	
5,121	6,125	6,111	6,118	
5,122	6,122	6,108	6,115	
5,123	6,122	6,108	6,115	
5,124	6,124	6,110	6,117	
5,125	6,125	6,111	6,118	
5,126	6,125	6,111	6,118	
6,33	6,120	6,106	6,113	
6,34	6,122	6,108	6,115	
6,35	6,120	6,106	6,113	
6,36	6,121	6,107	6,114	
6,37	6,120	6,106	6,113	
6,38	6,125	6,111	6,118	
6,39	6,120	6,106	6,113	
6,40	6,120	6,106	6,113	
6,41	6,120	6,106	6,113	
6,42	6,120	6,106	6,113	
6,43	6,120	6,106	6,113	
6,44	6,121	6,107	6,114	
6,46	6,120	6,106	6,113	
6,47	6,122	6,108	6,115	
6,48	6,120	6,106	6,113	
6,49	6,121	6,107	6,114	
6,50	6,120	6,106	6,113	
6,51	6,122	6,108	6,115	
6,52	6,123	6,109	6,116	
6,53	8,120	8,106	8,113	
6,54	6,120	6,106	6,113	
6,55	6,122	6,108	6,115	
6,56	6,120	6,106	6,113	
6,57	6,120	6,106	6,113	
6,58	6,120	6,106	6,113	
6,59	6,120	6,106	6,113	
6,60	6,120	6,106	6,113	
6,61	6,125	6,111	6,118	
6,62	6,122	6,108	6,115	
6,63	6,122	6,108	6,115	
6,64	6,124	6,110	6,117	
6,65	6,120	6,106	6,113	
6,66	6,120	6,106	6,113	
6,67	6,124	6,110	6,117	
6,68	6,124	6,110	6,117	
6,69	6,125	6,111	6,118	
6,70	6,120	6,106	6,113	
6,71	6,120	6,106	6,113	
6,72	6,120	6,106	6,113	
6,73	6,124	6,110	6,117	
6,74	6,125	6,111	6,118	
6,75	6,120	6,106	6,113	
6,76	6,120	6,106	6,113	
6,77	6,124	6,110	6,117	
6,78	6,124	6,110	6,117	
6,79	6,124	6,110	6,117	
6,80	6,122	6,108	6,115	
6,81	6,121	6,107	6,114	
6,82	6,122	6,108	6,115	
6,83	6,121	6,107	6,114	
6,84	6,120	6,106	6,113	
6,85	6,120	6,106	6,113	
6,86	6,122	6,108	6,115	
6,87	6,120	6,106	6,113	
6,88	6,122	6,108	6,115	
6,89	6,120	6,106	6,113	
6,90	6,120	6,106	6,113	
6,91	6,124	6,110	6,117	
6,92	6,125	6,111	6,118	
6,93	6,120	6,106	6,113	
6,94	6,120	6,106	6,113	
6,95	6,120	6,106	6,113	
6,96	6,120	6,106	6,113	
6,97	6,120	6,106	6,113	
6,98	6,120	6,106	6,113	
6,99	6,120	6,106	6,113	
6,100	6,120	6,106	6,113	
6,101	6,120	6,106	6,113	
6,102	6,120	6,106	6,113	
6,103	6,121	6,107	6,114	
6,104	6,123	6,109	6,116	
6,105	6,121	6,107	6,114	
7,33	6,120	6,106	6,113	
7,34	6,122	6,108	6,115	
7,35	6,121	6,107	6,114	
7,36	6,120	6,106	6,113	
7,37	6,120	6,106	6,113	
7,38	6,120	6,106	6,113	
7,39	6,120	6,106	6,113	
7,40	8,121	8,107	8,114	
7,41	8,122	8,108	8,115	
7,42	8,121	8,107	8,114	
7,43	8,125	8,111	8,118	
7,44	8,126	8,112	8,119	
7,46	8,120	8,106	8,113	
7,47	8,121	8,107	8,114	
7,48	8,125	8,111	8,118	
7,49	8,126	8,112	8,119	
7,50	8,121	8,107	8,114	
7,51	8,122	8,108	8,115	
7,52	8,125	8,111	8,118	
7,53	8,123	8,109	8,116	
7,54	8,122	8,108	8,115	
7,55	8,120	8,106	8,113	
7,56	8,121	8,107	8,114	
7,57	8,121	8,107	8,114	
7,58	8,124	8,110	8,117	
7,59	8,121	8,107	8,114	
7,60	8,120	8,106	8,113	
7,61	8,120	8,106	8,113	
7,62	8,120	8,106	8,113	
7,63	8,122	8,108	8,115	
7,64	8,120	8,106	8,113	
7,65	8,123	8,109	8,116	
7,66	8,126	8,112	8,119	
7,67	8,124	8,110	8,117	
7,68	8,123	8,109	8,116	
7,69	8,120	8,106	8,113	
7,70	8,121	8,107	8,114	
7,71	8,121	8,107	8,114	
7,72	8,122	8,108	8,115	
7,73	8,122	8,108	8,115	
7,74	8,120	8,106	8,113	
7,75	8,120	8,106	8,113	
7,76	8,120	8,106	8,113	
7,77	8,120	8,106	8,113	
7,78		8,106	8,113	
7,79	8,121	8,107	8,114	
7,80	8,121	8,107	8,114	
7,81	8,120	8,106	8,113	
7,82	8,120	8,106	8,113	
7,83	8,120	8,106	8,113	
7,84	8,122	8,108	8,115	
7,85	8,120	8,106	8,113	
7,86	8,120	8,106	8,113	
7,87	8,120	8,106	8,113	
7,88	8,120	8,106	8,113	
7,89	8,122	8,108	8,115	
7,90	8,120	8,106	8,113	
7,91	8,120	8,106	8,113	
7,92	8,121	8,107	8,114	
7,93	8,120	8,106	8,113	
7,94	8,122	8,108	8,115	
7,95	8,121	8,107	8,114	
