59	221	217	235	208	
68	222	215	233	208	
71	221	217	235	208	
80	222	215	233	208	
84	223	215	233	208	
86	223	215	233	208	
87	226	215	233	212	
90	224	216	233	208	
98	224	216	234	209	
102	222	215	233	208	
104	221	217	233	208	
109	221	217	235	208	
135	232	215	233	210	
47	222	215	233	208	
94	225	215	233	214	
113	222	215	233	208	
119	222	215	233	208	
122	222	215	233	208	
164	222	215	233	208	
174	223	215	233	208	
177	223	215	233	208	
178	226	215	233	212	
182	226	215	233	212	
159	221	217	235	208	
184	222	215	233	208	
186	222	215	233	0	
187	222	215	233	208	
188	222	215	233	208	
190	222	215	233	208	
193	221	217	233	208	
197	222	215	233	208	
195	225	215	233	208	
200	224	216	234	209	
205	222	215	233	208	
136	227	217	235	212	
69	227	217	235	212	
72	227	217	235	212	
114	227	217	235	214	
120	227	217	235	212	
130	227	217	235	214	
165	232	217	235	212	
36	232	217	235	211	
134	226	217	235	211	
61	226	217	235	212	
70	226	217	235	212	
73	226	217	235	212	
99	226	217	235	212	
105	226	217	235	212	
133	228	217	235	212	
115	226	217	235	212	
121	226	217	235	212	
131	226	217	235	212	
167	226	217	235	212	
194	226	217	235	212	
198	226	217	235	212	
201	226	217	235	212	
34	226	217	235	212	
64	221	217	235	208	
76	221	217	235	208	
81	226	217	235	212	
88	226	217	235	212	
100	224	216	234	209	
108	221	217	235	208	
110	221	217	235	212	
161	226	217	235	212	
169	226	217	235	212	
175	231	217	235	211	
181	226	217	235	212	
149	226	217	235	212	
176	227	216	234	209	
67	230	216	235	213	
79	230	216	235	213	
112	230	216	235	213	
118	230	216	235	213	
163	230	216	235	213	
172	230	216	236	213	
66	229	218	236	213	
78	229	218	236	213	
117	229	218	236	213	
162	229	218	236	213	
171	229	218	236	213	
77	227	217	235	213	
170	227	217	235	213	
65	227	217	235	213	
185	226	217	235	212	
43	221	216	234	212	
75	221	216	234	212	
83	230	216	234	213	
85	227	216	234	213	
89	230	216	234	213	
137	224	216	234	209	
96	225	217	235	214	
101	224	216	234	209	
107	221	217	235	211	
111	221	216	234	212	
116	228	216	234	213	
126	228	216	234	213	
168	228	216	234	213	
180	228	217	235	213	
192	226	217	235	212	
196	225	216	234	213	
203	224	216	234	209	
152	228	216	234	213	
154	225	216	234	209	
156	174	218	236	0	
92	174	218	236	0	
204	229	140	243	0	
